date, pm25, pm10, o3, no2, so2, co
2018/11/7, 213, 484, 18, 19, 10, 10
2018/11/8, 499, 174, 52, 16, 8, 10
2018/11/9, 274, 208, 33, 20, 8, 15
2018/11/10, 287, 196, 2, 10, 6, 18
2018/11/11, 307, 165, 4, 36, 4, 14
2018/11/12, 222, 241, 23, 28, 9, 13
2018/11/13, 272, 105, 20, 18, 6, 9
2018/11/14, 181, 93, 25, 15, 5, 7
2018/11/15, 167, 125, 35, 13, 4, 8
2018/11/16, 210, 115, 35, 15, 4, 6
2018/11/17, 183, 120, 31, 14, 5, 9
2018/11/18, 186, 158, 27, 21, 5, 9
2018/11/19, 219, 157, 36, 15, 6, 9
2018/11/20, 230, 167, 29, 15, 4, 8
2018/11/21, 242, 124, 11, 31, 6, 9
2018/11/22, 179, 145, 23, 17, 7, 8
2018/11/23, 215, 111, 21, 14, 6, 41
2018/11/24, 163, 108, 26, 14, 6, 20
2018/11/25, 169, 149, 32, 14, 10, 14
2018/11/26, 220, 137, 27, 12, 5, 14
2018/11/27, 202, 129, 28, 15, 3, 21
2018/11/28, 196, 141, 36, 15, 3, 22
2018/11/29, 213, 149, 38, 17, 4, 14
2018/11/30, 216, 131, 35, 14, 4, 10
2018/12/1, 196, 115, 32, 14, 5, 14
2018/12/2, 176, 131, 38, 15, 5, 22
2018/12/3, 190, 149, 34, 17, 5, 16
2018/12/4, 212, 128, 3, 14, 4, 11
2018/12/5, 193, 168, 2, 17, 5, 20
2018/12/6, 217, 149, 12, 15, 5, 15
2018/12/7, 213, 142, 16, 15, 5, 12
2018/12/8, 211, 178, 15, 19, 7, 20
2018/12/9, 250, 258, 19, 18, 7, 24
2018/12/10, 316, 227, 19, 18, 4, 18
2018/12/11, 297, 148, 11, 16, 4, 18
2018/12/12, 229, 91, 13, 13, 4, 10
2018/12/13, 161, 100, 12, 14, 3, 8
2018/12/14, 171, 107, 11, 15, 3, 11
2018/12/15, 177, 111, 13, 15, 5, 9
2018/12/16, 182, 140, 12, 17, 5, 11
2018/12/17, 213, 162, 47, 20, 6, 12
2018/12/18, 240, 143, 36, 17, 4, 13
2018/12/19, 221, 153, 36, 17, 5, 11
2018/12/20, 228, 179, 26, 17, 5, 14
2018/12/21, 262, 259, 22, 23, 6, 17
2018/12/22, 323, 292, 21, 17, 6, 20
2018/12/23, 353, 273, 17, 21, 5, 18
2018/12/24, 326, 224, 13, 17, 4, 14
2018/12/25, 307, 145, 9, 15, 4, 9
2018/12/26, 217, 188, 7, 18, 5, 19
2018/12/27, 259, 184, 5, 16, 4, 10
2018/12/28, 270, 148, 4, 15, 4, 11
2018/12/29, 220, 183, 3, 15, 6, 17
2018/12/30, 264, , , , , 
2018/7/1, 76, 62, 34, 7, 3, 5
2018/7/2, 79, 70, 47, 14, 5, 7
2018/7/3, 111, 77, 49, 12, 5, 5
2018/7/4, 116, 87, 46, 13, 5, 5
2018/7/5, 124, 96, 43, 10, 4, 5
2018/7/6, 120, 93, 72, 12, 4, 5
2018/7/7, 143, 99, 102, 13, 5, 8
2018/7/8, 146, 108, 61, 14, 4, 6
2018/7/9, 160, 76, 50, 9, 4, 4
2018/7/10, 122, 71, 32, 11, 5, 5
2018/7/11, 114, 80, 58, 13, 4, 4
2018/7/12, 115, 44, 27, 11, 5, 5
2018/7/13, 83, 52, 47, 14, 5, 6
2018/7/14, 87, 51, 23, 11, 3, 5
2018/7/15, 90, 55, 14, 13, 3, 5
2018/7/16, 91, 49, 22, 11, 4, 6
2018/7/17, 71, 56, 33, 10, 3, 6
2018/7/18, 74, 54, 51, 9, 4, 4
2018/7/19, 78, 44, 24, 13, 3, 6
2018/7/20, 77, 65, 33, 15, 3, 9
2018/7/21, 118, 32, 17, 9, 3, 5
2018/7/22, 55, 45, 13, 8, 3, 6
2018/7/23, 78, 51, 27, 11, 5, 5
2018/7/24, 64, 45, 15, 7, 3, 3
2018/7/25, 59, 36, 12, 7, 3, 3
2018/7/26, 59, 19, 11, 7, 2, 5
2018/7/27, 45, 39, 17, 4, 2, 4
2018/7/28, 70, 55, 16, 4, 2, 4
2018/7/29, 67, 69, 26, 3, 2, 3
2018/7/30, 72, 92, 15, 6, 2, 4
2018/7/31, 99, 104, 13, 5, 3, 3
2018/8/1, 101, 158, 18, 4, 2, 3
2018/8/2, 139, 150, 17, 6, 2, 2
2018/8/3, 132, 150, 23, 7, 3, 3
2018/8/4, 143, 158, 12, 8, 3, 3
2018/8/5, 141, 90, 41, 16, 3, 7
2018/8/6, 139, 73, 31, 12, 5, 5
2018/8/7, 113, 47, 18, 10, 3, 6
2018/8/8, 75, 57, 26, 10, 3, 6
2018/8/9, 84, 60, 39, 9, 3, 7
2018/8/10, 99, 57, 24, 7, 2, 4
2018/8/11, 76, 55, 17, 8, 3, 3
2018/8/12, 57, 62, 30, 8, 4, 5
2018/8/13, 78, 72, 48, 10, 3, 5
2018/8/14, 103, 76, 37, 7, 4, 4
2018/8/15, 104, 47, 22, 8, 4, 5
2018/8/16, 71, 49, 22, 8, 3, 6
2018/8/17, 74, 50, 8, 13, 3, 5
2018/8/18, 75, 51, 17, 10, 3, 5
2018/8/19, 89, 83, 44, 14, 4, 8
2018/8/20, 146, 44, 29, 8, 5, 5
2018/8/21, 68, 47, 21, 8, 3, 4
2018/8/22, 75, 39, 13, 5, 3, 4
2018/8/23, 58, 45, 19, 5, 3, 2
2018/8/24, 42, 45, 28, 4, 3, 2
2018/8/25, 41, 51, 46, 5, 3, 2
2018/8/26, 53, 36, 28, 9, 3, 5
2018/8/27, 58, 51, 5, 9, 3, 7
2018/8/28, 91, 26, 6, 7, 3, 5
2018/8/29, 44, 54, 34, 6, 3, 6
2018/8/30, 81, 84, 63, 6, 3, 4
2018/8/31, 101, 56, 49, 8, 3, 5
2018/9/1, 83, 47, 60, 7, 3, 7
2018/9/2, 86, 51, 37, 12, 3, 8
2018/9/3, 93, 53, 19, 11, 3, 9
2018/9/4, 96, 53, 18, 7, 3, 4
2018/9/5, 73, 69, 35, 6, 2, 3
2018/9/6, 68, 45, 38, 9, 3, 7
2018/9/7, 75, 48, 17, 8, 4, 7
2018/9/8, 76, 31, 21, 5, 3, 4
2018/9/9, 52, 43, 29, 6, 3, 5
2018/9/10, 70, 40, 27, 5, 3, 3
2018/9/11, 57, 58, 21, 6, 3, 2
2018/9/12, 60, 64, 20, 5, 4, 3
2018/9/13, 52, 59, 24, 5, 3, 3
2018/9/14, 56, 60, 29, 6, 2, 3
2018/9/15, 66, 69, 27, 5, 3, 3
2018/9/16, 85, 87, 42, 6, 3, 6
2018/9/17, 123, 95, 46, 9, 4, 4
2018/9/18, 114, 91, 51, 9, 4, 5
2018/9/19, 123, 92, 79, 12, 5, 7
2018/9/20, 141, 110, 23, 9, 4, 6
2018/9/21, 101, 28, 13, 10, 5, 4
2018/9/22, 43, 42, 19, 8, 6, 3
2018/9/23, 78, 19, 14, 7, 2, 4
2018/9/24, 46, 23, 21, 6, 2, 3
2018/9/25, 43, 52, 38, 6, 3, 5
2018/9/26, 77, 71, 51, 6, 4, 6
2018/9/27, 117, 81, 49, 7, 5, 8
2018/9/28, 131, 94, 47, 10, 5, 10
2018/9/29, 140, 76, 54, 7, 3, 5
2018/9/30, 126, 90, 66, 9, 5, 5
2018/6/3, 143, 125, 47, 8, 9, 5
2018/6/4, 146, 101, 39, 8, 10, 6
2018/6/5, 127, 113, 35, 10, 14, 6
2018/6/6, 141, 106, 70, 12, 10, 7
2018/6/7, 151, 133, 42, 7, 11, 7
2018/6/8, 158, 125, 32, 7, 9, 6
2018/6/9, 131, 89, 77, 10, 8, 7
2018/6/10, 127, 131, 57, 11, 8, 5
2018/6/11, 145, 510, 29, 7, 8, 5
2018/6/12, 174, 967, 23, 5, 7, 4
2018/6/13, 237, 844, 25, 3, 6, 3
2018/6/14, 218, 599, 24, 4, 5, 3
2018/6/15, 170, 459, 26, 7, 8, 4
2018/6/16, 164, 249, 35, 7, 7, 5
2018/6/17, 155, 106, 43, 10, 7, 5
2018/6/18, 120, 101, 51, 8, 7, 5
2018/6/19, 118, 139, 65, 14, 10, 7
2018/6/20, 142, 182, 88, 15, 10, 6
2018/6/21, 152, 136, 106, 20, 9, 7
2018/6/22, 151, 156, 85, 19, 11, 9
2018/6/23, 156, 127, 60, 13, 11, 6
2018/6/24, 136, 214, 42, 11, 7, 6
2018/6/25, 139, 107, 25, 11, 7, 3
2018/6/26, 111, 76, 37, 11, 7, 6
2018/6/27, 126, 36, 19, 12, 6, 5
2018/6/28, 59, 52, 21, 14, 6, 7
2018/6/29, 93, 54, 28, 13, 3, 6
2018/6/30, 106, 49, 33, 9, 3, 5
2020/5/5, , 72, 66, 5, 4, 5
2019/12/31, , 300, 21, 19, 3, 36
2018/12/31, , 187, 3, 16, 6, 20
2018/11/4, , 161, 19, 11, 5, 3
2018/6/2, , 106, 50, 10, 14, 6
